Angola,Africa,2006,29.3,458.8,0,19.4
Argentina,South America,2006,97.1,1853,1.6,55.7
Australia,Oceania,2006,100,5709.3,2.5,90.7
Brazil,South America,2006,97.6,1184.1,3.6,9.8
Canada,North America,2006,100,8239.9,1.8,24.4
China,Asia,2006,98.5,1515.2,0.4,82.5
Egypt,Africa,2006,99,845,0.5,88.3
France,Europe,2006,100,4188.8,1.1,9.7
Germany,Europe,2006,100,4204.7,8.2,61
India,Asia,2006,67.9,466.1,2,80
Indonesia,Asia,2006,90.6,802.4,5,87.7
Italy,Europe,2006,100,3175.8,4.4,82.7
Japan,Asia,2006,100,4053.9,1.7,61.2
South Korea,Asia,2006,100,4412.5,0.1,61.7
Libya,Africa,2006,88.4,3052.4,0,100
Mexico,North America,2006,99.1,1698.6,3.5,80.5
New Zealand,Oceania,2006,100,4047.3,10.4,35.3
Russia,Europe,2006,100,4688.4,0.1,66.4
South Africa,Africa,2006,80.7,2625.8,0.1,94.7
Spain,Europe,2006,100,3194.1,8.9,61.7
Sweden,Europe,2006,100,5529.1,6.5,2.6
United Kingdom,Europe,2006,100,3598.8,3.4,75.6
United States,North America,2006,100,7697.7,2.4,71.3
Angola,Africa,2007,37.5,471.7,0,22.4
Argentina,South America,2007,97.3,1858.4,1.6,63.4
Australia,Oceania,2007,100,5868.3,2.7,91.4
Brazil,South America,2007,98.1,1238.4,4.2,8.7
Canada,North America,2007,100,8213.4,1.8,24.8
China,Asia,2007,98.7,1630.2,0.5,82.8
Egypt,Africa,2007,98.4,889.4,0.7,86.9
France,Europe,2007,100,4115.5,1.5,10
Germany,Europe,2007,100,3985.8,10.6,62.8
India,Asia,2007,70.6,485.1,2.3,80.1
Indonesia,Asia,2007,91.1,788.1,5,87.1
Italy,Europe,2007,100,3149.6,4.8,83.6
Japan,Asia,2007,100,4012.7,1.8,64.5
South Korea,Asia,2007,100,4565,0.2,65.3
Libya,Africa,2007,86.6,2796.5,0,100
Mexico,North America,2007,98.1,1662.6,3.8,82
New Zealand,Oceania,2007,100,4054.5,11.5,34.3
Russia,Europe,2007,100,4709.8,0,66.4
South Africa,Africa,2007,82,2775.6,0.1,95.2
Spain,Europe,2007,100,3180,10.3,62.1
Sweden,Europe,2007,100,5472.1,7.6,2.2
United Kingdom,Europe,2007,100,3441.6,3.7,78.5
United States,North America,2007,100,7758.2,2.6,72
Angola,Africa,2008,31.3,492,0,24.6
Argentina,South America,2008,97.5,1937.6,1.3,67.6
Australia,Oceania,2008,100,5964.7,3.2,91.9
Brazil,South America,2008,98.5,1294.5,4.5,12.6
Canada,North America,2008,100,8194.9,1.7,23.3
China,Asia,2008,98.9,1672.9,0.9,80.3
Egypt,Africa,2008,99.8,907.6,0.7,88.1
France,Europe,2008,100,4110.6,1.8,9.4
Germany,Europe,2008,100,4036.8,11.5,60.8
India,Asia,2008,72.3,501.6,2.7,81.7
Indonesia,Asia,2008,92.7,793.1,5.6,86.7
Italy,Europe,2008,100,3087.6,5.3,80.6
Japan,Asia,2008,100,3858.4,1.8,64.5
South Korea,Asia,2008,100,4629.8,0.3,65
Libya,Africa,2008,84.9,2937.6,0,100
Mexico,North America,2008,98.9,1621.3,3,78.8
New Zealand,Oceania,2008,100,4082.7,13.3,35.6
Russia,Europe,2008,100,4823.1,0,68.1
South Africa,Africa,2008,81.9,2950.2,0.1,94.3
Spain,Europe,2008,100,3026.3,12.5,60.7
Sweden,Europe,2008,100,5380,8.2,2.1
United Kingdom,Europe,2008,100,3362,4.3,80.2
United States,North America,2008,100,7488.1,3.1,71.4
Angola,Africa,2009,32.3,515.2,0,34.7
Argentina,South America,2009,97.7,1865.3,1.1,64.4
Australia,Oceania,2009,100,5862.6,2.7,92.5
Brazil,South America,2009,98.9,1240.2,5.1,8.1
Canada,North America,2009,100,7797.1,2.4,22
China,Asia,2009,99.2,1778.4,1.3,80.2
Egypt,Africa,2009,98.7,911.5,0.8,89.9
France,Europe,2009,100,3913.5,2.4,9.3
Germany,Europe,2009,100,3790.5,12.9,59.7
India,Asia,2009,75,544.6,3.3,82.3
Indonesia,Asia,2009,93.6,846,6,86.8
Italy,Europe,2009,100,2869.9,7,75.2
Japan,Asia,2009,100,3678.5,1.9,63.1
South Korea,Asia,2009,100,4649.8,0.4,66.2
Libya,Africa,2009,83.1,3146.2,0,100
Malaysia,Asia,2009,99.3,2591.8,1,93
Mexico,North America,2009,98.4,1599.5,3,83.1
New Zealand,Oceania,2009,100,4073.2,16,28.2
Russia,Europe,2009,100,4531.3,0.1,65.5
South Africa,Africa,2009,82.7,2852.1,0.1,94.1
Spain,Europe,2009,100,2757.7,16.3,56.2
Sweden,Europe,2009,100,4883.2,10.2,2.3
United Kingdom,Europe,2009,100,3145.6,5.4,74.2
United States,North America,2009,100,7056.8,3.7,69.5
Angola,Africa,2010,33.4,521,0,32
Argentina,South America,2010,98.8,1928.7,1.8,65.7
Australia,Oceania,2010,100,5793.1,3.3,91.4
Brazil,South America,2010,99,1358.5,6.5,12.4
Canada,North America,2010,100,7788.6,3.2,23.1
China,Asia,2010,99.7,1954.7,1.7,79.4
Egypt,Africa,2010,99.2,876.5,1.2,90
France,Europe,2010,100,4016.8,2.7,9.9
Germany,Europe,2010,100,3997.1,13.4,59.5
India,Asia,2010,76.3,561.7,3.5,81.2
Indonesia,Asia,2010,94.2,877.1,5.6,84.1
Italy,Europe,2010,100,2930.6,8.7,73.3
Japan,Asia,2010,100,3893.3,3.3,62
South Korea,Asia,2010,100,5045.5,0.5,68.7
Libya,Africa,2010,81.4,3353.5,0,100
Malaysia,Asia,2010,99.2,2601.4,0.8,94
Mexico,North America,2010,99.2,1531.8,3.1,81.2
New Zealand,Oceania,2010,100,4225.1,18.1,26.7
Russia,Europe,2010,100,4819,0.1,67.1
South Africa,Africa,2010,82.9,2768.1,0.1,94.3
Spain,Europe,2010,100,2742.9,18.6,46.2
Sweden,Europe,2010,100,5427.9,10.6,4.4
United Kingdom,Europe,2010,100,3230.6,5.9,76.4
United States,North America,2010,100,7161.6,4.1,70.3
Angola,Africa,2011,34.6,521.8,0,29.1
Argentina,South America,2011,99.3,1952.1,1.7,62.8
Australia,Oceania,2011,100,5745.2,3.8,89.6
Brazil,South America,2011,99.3,1367.2,6.6,9.8
